SGPA_1,SGPA_2,SGPA_3,SGPA_4,SGPA5
8.7,6.5,7.36,8.32,7.886666666666667
8.8,7.93,8.27,8.82,8.765
7.32,8.18,8.36,8.64,8.861666666666666
9.09,9.68,9.55,9.91,9.929166666666667
9.02,8.66,8.44,8.27,8.2225
8.41,7.41,8.18,8.45,8.384166666666667
8.73,9.36,9.18,9.09,9.18
7.1,6.8,6.9,6.9,7.208333333333333
9.27,9.39,8.91,9.27,9.243333333333334
9.07,7.52,8.55,9.09,8.889166666666666
8.25,7.98,8.09,8.45,8.6075
8.7,8.2,8.18,8.82,8.471666666666666
9.23,8.41,8.09,8.0,7.900833333333334
8.41,8.0,8.18,8.5,8.620833333333334
9.14,8.93,8.55,8.18,7.973333333333333
8.16,6.95,7.8,8.27,8.225
9.0,7.91,8.18,8.18,8.059166666666666
8.43,7.34,7.18,8.09,7.669999999999999
8.41,7.39,6.68,7.39,7.345833333333332
8.27,7.68,7.68,8.68,8.555833333333334
9.09,8.89,9.09,8.73,8.756666666666666
8.66,7.45,6.27,7.91,7.910833333333334
9.07,8.32,8.09,8.55,8.179166666666667
8.84,8.45,8.18,8.45,8.346666666666666
9.59,8.91,9.09,9.09,8.92
7.68,7.77,7.36,7.55,7.633333333333333
8.16,8.48,8.0,8.84,8.896666666666667
7.86,7.16,6.91,7.09,7.041666666666667
8.8,8.41,8.64,8.64,8.3675
7.0,7.45,7.55,8.09,8.384166666666667
8.59,9.09,8.82,9.45,9.4825
8.6,9.1,6.8,8.7,7.966666666666666
8.3,7.9,6.3,8.2,8.025
8.34,7.77,8.36,8.82,8.690833333333332
8.91,8.27,8.27,8.27,8.186666666666666
9.02,9.05,9.45,9.45,9.374166666666666
8.66,7.66,8.8,7.8,8.056666666666667
7.8,7.5,8.2,7.6,7.525000000000001
7.89,8.22,7.54,8.79,8.6
8.11,7.68,7.0,8.64,8.609166666666667
8.09,7.08,6.0,7.09,6.551666666666667
8.23,8.3,8.09,8.73,8.789166666666667
8.39,6.93,7.18,8.45,8.215833333333332
8.73,8.05,8.27,8.55,8.840000000000002
8.0,7.9,7.8,7.5,7.466666666666666
9.23,9.32,9.09,9.73,9.590833333333334
7.5,5.5,7.5,7.2,6.941666666666666
8.77,8.77,8.73,9.64,9.629166666666668
8.41,8.27,8.61,8.91,8.653333333333334
8.73,7.86,7.27,8.36,8.181666666666667
7.57,7.5,8.2,8.82,8.6975
7.2,7.6,8.1,7.9,8.4
8.5,6.32,6.41,7.36,7.055833333333333
8.18,5.75,7.55,8.55,8.325833333333334
8.48,6.39,7.09,8.18,7.971666666666667
8.32,8.43,7.91,8.43,8.920833333333333
9.64,7.78,7.36,8.18,7.886666666666666
7.98,6.5,6.45,7.82,7.915833333333334
8.9,7.0,7.8,6.9,7.150000000000001
8.09,7.49,8.27,8.91,8.73
7.14,6.93,8.09,7.45,7.3875
8.43,7.16,7.73,8.45,8.1375
8.57,7.93,7.45,8.73,8.686666666666667
